NDB_No,Restaurant,Shrt_Desc,Energ_Kcal,Protein_(g),Lipid_Tot_(g),Iron_(mg),Sodium_(mg),Cholestrl_(mg),Carbohydrt_(g),Water_(g)
14601,Wendy's,BEVERAGES_WENDY'S_TEA_RTD_UNSWTND,1,0.22,0,0,3,,0,99.79
21141,Burger King,BURGER KING_VANILLA SHAKE,168,3.19,8.74,0.42,100,31,19.03,68.13
21228,McDonald's,MCDONALD'S_HAMBURGER,264,12.92,10.09,2.87,494,27,30.28,44.53
21232,McDonald's,MCDONALD'S_ FLT-O-FSH,282,11.26,14.64,1.56,434,32,26.39,45.76
21233,McDonald's,MCDONALD'S_ CHEESEBURGER,263,12.97,11.79,2.35,626,35,27.81,45
21234,McDonald's,MCDONALD'S_QUARTER POUNDER,244,14.1,11.55,2.41,427,39,22.17,50.37
21235,McDonald's,MCDONALD'S_QUARTER POUNDER W/ CHS,258,14.59,14.22,2.1,579,47,19.95,48.9
21237,McDonald's,MCDONALD'S_BIG MAC,257,11.82,14.96,2,460,36,20.08,51.3
21238,McDonald's,MCDONALD'S_FRENCH FR,323,3.41,15.47,0.8,189,,42.58,36.63
21239,Wendy's,WENDY'S_CLASSIC SINGLE HAMBURGER_NO CHS,213,12.63,10.6,2.73,395,35,16.82,58.41
21240,Wendy's,WENDY'S_CLASSIC SINGLE HAMBURGER_W/ CHS,221,14.87,11.6,2.34,476,38,14.2,57.5
21241,Wendy's,WENDY'S_JR. HAMBURGER_WO/ CHS,243,12.62,8.75,3.35,539,27,28.45,48.25
21242,Wendy's,WENDY'S_JR. HAMBURGER_W/ CHS,256,13.06,11.5,2.78,660,36,24.97,48.06
21243,Wendy's,WENDY'S_CLASSIC DOUBLE_W/ CHS,241,16.52,14.2,2.94,422,51,11.71,55.84
21244,Wendy's,WENDY'S_HOMESTYLE CHICK FILLET SNDWCH,214,13.78,8.1,1.5,401,31,21.55,54.94
21245,Wendy's,WENDY'S_ULTIMATE CHICK GRILL SNDWCH,179,14.73,5,1.55,427,40,18.88,59.67
